# Audience:	External
# Language:	zh-CN
# Last Updated:	2026-03-16
# Owner:	Shared
source_id	evidence_level	source_type	title_zh	title_en	url	last_checked	access_status	key_fact_zh	key_fact_en	note
S01	A	official_doc	Google AI 功能与网站	AI features and your website	https://developers.google.com/search/docs/appearance/ai-features	2026-03-13	open	Google 明确 AI 搜索功能仍沿用 SEO 基础原则	Google states AI features still rely on core SEO foundations	用于 GEO 与 SEO 关系定义
S02	A	official_doc	Google 机器人元标签规范	Robots meta tags and X-Robots-Tag	https://developers.google.com/search/docs/crawling-indexing/robots-meta-tag	2026-03-13	open	片段控制会影响搜索与 AI 场景中的可展示内容	Snippet controls affect content availability in search and AI surfaces	用于可控展示策略
S03	A	official_doc	Google robots.txt 编写与提交	Create and submit a robots.txt file	https://developers.google.com/search/docs/crawling-indexing/robots/create-robots-txt	2026-03-13	open	抓取可达性是所有可见性的前置条件	Crawl access is a prerequisite for any visibility outcome	用于抓取层基线
S04	A	official_doc	Google Sitemap 构建与提交	Build and submit a sitemap	https://developers.google.com/search/docs/crawling-indexing/sitemaps/build-sitemap	2026-03-13	open	规范化 URL 与站点地图更新影响发现效率	Canonical URLs and sitemap freshness affect discovery speed	用于发现层优化
S05	A	official_doc	Google 人本内容指南	Creating helpful, reliable, people-first content	https://developers.google.com/search/docs/fundamentals/creating-helpful-content	2026-03-13	open	内容质量与可信度优先于机械生成	Quality and trust signals are prioritized over mechanical generation	用于编辑与质量标准
S06	A	official_doc	Google 对 AI 生成内容的指导	Google Search guidance about AI-generated content	https://developers.google.com/search/blog/2023/02/google-search-and-ai-content	2026-03-13	open	AI 生成不是问题 核心是是否服务用户与是否操纵排名	AI usage itself is not the issue; manipulative intent and quality are	用于 AI 内容边界定义
S07	A	official_schema	Schema FAQPage	Schema FAQPage	https://schema.org/FAQPage	2026-03-13	open	FAQPage 为问答结构提供标准语义	FAQPage provides a standard machine-readable Q&A schema	用于 FAQ 结构化
S08	A	official_schema	Schema HowTo	Schema HowTo	https://schema.org/HowTo	2026-03-13	open	HowTo 适用于步骤型任务表达	HowTo standardizes procedural task content	用于步骤内容结构化
S09	A	official_blog	Bing Webmaster AI Performance 公测	Bing Webmaster AI Performance Public Preview	https://blogs.bing.com/webmaster/February-2026/Introducing-AI-Performance-in-Bing-Webmaster-Tools-Public-Preview	2026-03-13	open	公开提供引用页面与触发查询等 AI 可见性指标	Exposes citation-focused visibility metrics such as cited pages and queries	用于监测指标设计
S10	B	industry_news	OpenAI 更新隐私政策并扩展 ChatGPT 广告	OpenAI updates privacy policy as ads expand in ChatGPT	https://searchengineland.com/openai-updates-privacy-policy-as-ads-expand-in-chatgpt-471150	2026-03-13	open_via_web_tool	广告扩展与隐私边界正在同步收紧	Ad expansion and privacy boundaries are evolving together	用于广告与隐私章节
S11	B	industry_news	ChatGPT 广告将上线的准备建议	ChatGPT ads are coming — preparation guidance	https://searchengineland.com/chatgpt-ads-prepare-now-471013	2026-03-13	open_via_web_tool	AI 搜索商业化节奏加快 需要提前规划投放与归因	AI search monetization is accelerating and requires early planning	用于商业化趋势观察
S12	B	industry_news	法院限制 AI 购物代理访问 Amazon	Court restricts Perplexity AI shopping bot access to Amazon	https://searchengineland.com/perplexity-ai-shopping-bot-amazon-court-471283	2026-03-13	open_via_web_tool	AI Agent 在受限账户与授权边界上面临法律约束	AI agents face legal limits around restricted account access	用于风险与合规章节
S13	B	industry_news	Yahoo 发布 Scout AI 搜索体验	Yahoo debuts Scout AI search companion	https://searchengineland.com/yahoo-scout-yahoos-return-to-search-and-web-discovery-467907	2026-03-13	open_via_web_tool	传统门户正在重回 AI 搜索入口竞争	Portal platforms are re-entering AI search competition	用于平台格局变化
S14	A	research	GEO 研究论文	GEO: Generative Engine Optimization	https://arxiv.org/abs/2311.09735	2026-03-13	open	定义 GEO 概念并报告可见性提升实验结果	Introduces GEO and reports controlled visibility gains	用于学术定义
S15	A	research	GEO 引用失败诊断与修复	Diagnosing and Repairing Citation Failures in GEO	https://arxiv.org/abs/2603.09296	2026-03-13	open	给出引用失败类型与修复路径	Provides citation failure taxonomy and repair strategies	用于防御型 GEO 与纠偏
S16	A	research	ALCE 引用评测	ALCE citation evaluation benchmark	https://arxiv.org/abs/2305.14627	2026-03-13	open	多数系统在引用完整性上仍有缺口	Shows persistent citation completeness gaps in current systems	用于引用质量评估
S17	A	research	RAG 经典论文	Retrieval-Augmented Generation	https://arxiv.org/abs/2005.11401	2026-03-13	open	检索增强可提升事实一致性与可追溯性	Retrieval augmentation improves factual grounding	用于检索机制解释
S18	A	research	Self-RAG 论文	Self-RAG	https://arxiv.org/abs/2310.11511	2026-03-13	open	检索与自反思机制可改善生成质量	Retrieval plus self-reflection improves response quality	用于内容可验证性框架
S19	B	industry_study	89K LinkedIn URL 在 AI 搜索中的可见性研究	89K LinkedIn URL visibility study in AI search	https://www.semrush.com/blog/linkedin-ai-visibility-study/	2026-03-13	open	不同内容信号会显著影响 AI 引用可见性	Content signal quality materially affects AI citation visibility	用于高引用内容设计
S20	B	industry_study	AI 搜索高被引域名研究	Most-cited domains in AI search	https://www.semrush.com/blog/most-cited-domains-ai/	2026-03-13	open	AI 引用不存在对所有品牌通用的单一最优信源	No universal top source exists for every brand in AI citations	用于信源策略
S21	B	industry_guide	如何跟踪 Google AI Mode 可见性	How to track Google AI Mode visibility	https://www.semrush.com/blog/track-google-ai-mode-visibility-with-semrush/	2026-03-13	open	应按问题词与页面维度监测引用波动	Citation monitoring should be prompt-level and page-level	用于监测方法
S22	B	industry_guide	免费 AI 可见性审计方法	Free AI visibility audit workflow	https://www.semrush.com/blog/es/free-ai-visibility-audit-semrush/	2026-03-13	open	低成本审计可先验证关键页面与问题覆盖	Low-cost audits can validate priority pages and query coverage first	用于入门执行
S23	B	industry_guide	GEO 指南：如何赢得 AI 提及	Generative engine optimization guide	https://searchengineland.com/guide/what-is-geo	2026-03-13	open_via_web_tool	GEO 重点是让内容被 AI 选取与重组引用	GEO focuses on being selected and cited in AI-generated answers	用于外部教育框架
S24	B	industry_guide	SEO 与 GEO：相同与不同	SEO vs. GEO: differences and overlaps	https://searchengineland.com/seo-vs-geo-459474	2026-03-13	open_via_web_tool	SEO 与 GEO 目标层级不同但可协同	SEO and GEO differ by objective layer but are complementary	用于方法论对比
S25	B	industry_study	AI 引用数据：不存在通用第一信源	AI citation data: no universal top source	https://searchengineland.com/ai-citation-data-no-universal-top-source-brands-471285	2026-03-13	open_via_web_tool	不同品牌需构建差异化信源组合	Brands require differentiated source portfolios	用于信源配置策略
S26	B	industry_guide	Good GEO is good SEO	Good GEO is good SEO	https://searchengineland.com/guide/good-geo-is-good-seo	2026-03-13	open_via_web_tool	GEO 与 SEO 在基础技术和内容质量上高度重叠	GEO and SEO heavily overlap on technical and quality fundamentals	用于协同策略说明
S27	B	industry_news	Cloudflare Pay Per Crawl 与内容访问新规则	Cloudflare Pay Per Crawl and AI content access economics	https://searchengineland.com/cloudflare-pay-per-crawl-seo-geo-458310	2026-03-13	open_via_web_tool	AI 爬取正在进入权限与付费协商阶段	AI crawling is moving toward negotiated access and payment models	用于内容资产保护
S28	B	industry_news	NewsGuard 与 Pangram 协作识别 AI 生成与虚假新闻	NewsGuard taps Pangram for AI-generated misinformation detection	https://www.adweek.com/media/newsguard-pangram-ai-generated-news-misinformation/	2026-03-13	open	媒体与验证机构正强化 AI 内容溯源能力	Media integrity workflows are adding AI-generated content detection	用于可信内容章节
S29	B	industry_news	Q2 营销人员需要应对的 AI 搜索变化	AI search changes marketers should plan for in Q2	https://www.searchenginejournal.com/3-ai-search-changes-every-marketer-needs-a-plan-for-in-q2/551782/	2026-03-13	open	AI 搜索产品迭代速度要求更快的内容更新节奏	Product velocity in AI search demands faster content refresh cycles	用于节奏管理
S30	B	industry_news	Google AI Mode 自我引用比例研究	Google AI Mode self-citation pattern study	https://www.searchenginejournal.com/google-ai-mode-cites-itself-more-often-with-more-organic-links/553148/	2026-03-13	open	AI 模式中的引用分布并不等同传统自然结果	Citation distribution in AI mode diverges from classic organic layouts	用于平台差异说明
S31	B	industry_news	AIO 引用与排名分化	AIO citations diverge from rankings	https://www.searchenginejournal.com/aio-citations-diverge-from-rankings-bing-rewrites-rules-seo-pulse/552726/	2026-03-13	open	排名优势不必然转化为 AI 引用优势	Ranking strength does not automatically become citation strength	用于防御型 GEO 与监测
S32	B	industry_news	Google AI Overviews 可展开下拉模块	Google AI Overviews expandable drop-downs	https://www.seroundtable.com/google-ai-overviews-expandable-drop-downs-41027.html	2026-03-13	open	AI 结果交互样式变化会影响链接可见性与点击路径	AI result UI changes affect link visibility and click paths	用于页面结构策略
S33	B	industry_news	Google AI Mode 食谱小组件争议	Google AI Mode recipe widget controversy	https://www.seroundtable.com/google-ai-mode-recipe-widget-41026.html	2026-03-13	open	AI 结果聚合方式可能引发引用与归属争议	AI aggregation patterns can trigger attribution disputes	用于风险案例
S34	B	industry_news	Google AI Mode 增加食谱站点链接	Google AI Mode adds more recipe links	https://www.seroundtable.com/google-ai-mode-links-to-recipe-blogs-41035.html	2026-03-13	open	平台可在短期内调整链接呈现策略	Platforms can rapidly adjust outbound linking behavior	用于动态优化提醒
S35	B	industry_news	Furniture.com 从 SEO 向 AI 搜索转型	Furniture.com shifting from SEO-first to AI search	https://www.modernretail.co/operations/furniture-com-was-built-for-seo-now-its-trying-to-crack-ai-search/	2026-03-13	open	零售站点正在把 AI 可见性纳入内容与运营体系	Retail teams are operationalizing AI visibility beyond classic SEO	用于行业迁移案例
S36	B	industry_news	搜索新闻周报：AI Mode 链接卡与引用变化	Search news recap on AI Mode link-card and citation shifts	https://www.seroundtable.com/video-03-06-2026-41038.html	2026-03-13	open	周度变化显示 AI 搜索展示逻辑迭代频繁	Weekly updates indicate fast-changing AI result behaviors	用于时效风险提示
S37	B	field_article	流量变天：SEO 到 GEO 转变讨论	Traffic shift: from SEO to GEO discussion	https://mp.weixin.qq.com/s/9imkvXEwZfOs68JZmJsrwQ	2026-03-13	partial_text_extract	强调流量入口转移与引用率指标上升	Emphasizes traffic-entry shifts and citation-oriented metrics	来自公开微信文章 文本已抽取摘要
S38	B	field_article	品牌在 AI 中的形象与语境总和	Brand image in AI as sum of cited contexts	https://mp.weixin.qq.com/s/4uDUTp8S7b8a5r7nYT3yNg	2026-03-13	partial_text_extract	提出品牌语境一致性与降熵治理思路	Highlights context consistency and entropy-reduction approach	来自公开微信文章 文本已抽取摘要
S39	B	field_article	从 SEO 到 GEO 的峰会逐字稿	SEO-to-GEO summit transcript	https://mp.weixin.qq.com/s/pgRdpXCJusPkY3rv2c-zAg	2026-03-13	partial_text_extract	提供四维五层与 E²C 等实践框架	Contains applied frameworks such as 4D×5L and E²C	来自公开微信文章 文本已抽取摘要
S40	B	field_deck	Perception Engineering Framework	The Perception Engineering Framework	/Users/mia/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/wxid_33y8mo4fd98y22_4e72/temp/drag/The Perception Engineering Framework.pdf	2026-03-13	local_file_extract	强调 AI 首印象由外部共识拼接形成	AI first impression is formed by distributed external consensus	用于防御型 GEO 叙事逻辑
S41	B	field_deck	从 SEO 到 GEO 构建品牌在 AI 时代可见性话语权	From SEO to GEO: visibility discourse in AI era	/Users/mia/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/wxid_33y8mo4fd98y22_4e72/temp/drag/从 SEO 到 GEO 构建品牌在AI时代可见性话语权-易点天下Riven-260307.pdf	2026-03-13	local_file_extract	提供 SEO 与 GEO 叠加关系及执行矩阵	Provides layered SEO+GEO relationship and execution matrix	用于执行路径设计
S42	B	field_deck	2026 AI 平台 GEO 对比分析报告	2026 AI platform GEO comparative report	/Users/mia/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/wxid_33y8mo4fd98y22_4e72/temp/drag/2026AI平台GEO白皮书-GEOlyAI-易点天下可见性峰会.pdf	2026-03-13	local_file_extract	给出跨平台引用差异与优先级建议	Provides cross-platform citation differences and prioritization signals	用于平台策略参考
S43	B	field_deck	可见性营销新三板斧	Three-pronged visibility marketing playbook	/Users/mia/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/wxid_33y8mo4fd98y22_4e72/temp/drag/可见性营销新三板斧(2).pdf	2026-03-13	local_file_extract	提出答案位心智位交易位的闭环框架	Proposes answer-position, mindshare-position, transaction-position loop	用于内容组件设计
S44	C	internal_reference	Notion GEO 主文档	Notion GEO master document	https://www.notion.so/GEO-30ade66c690e8156b937f22dc99f75c2	2026-03-13	partial_context_only	仅有目录与部分摘录 需正文授权	Only index-level context available; full-body access required	TODO_REQUIRED_FROM_MIA
S45	C	internal_reference	Drive GEO 资料文件夹	Drive GEO reference folder	https://drive.google.com/drive/folders/1C27TEQSUAIwVNktly057Yahx3S0kGH4c	2026-03-13	partial_context_only	可访问入口但未完成逐篇授权抓取	Folder entry accessible but full-document extraction is incomplete	TODO_REQUIRED_FROM_MIA
S46	B	industry_guide	Proxies for Prompts：从关键词到提示词研究	Proxies for Prompts: from keywords to prompt research	https://searchengineland.com/proxies-for-prompts-466351	2026-03-16	open	AI 搜索研究需从关键词扩展到提示词和问题链路	AI search research should expand from keywords to prompt-level question flows	用于 Prompt Research 方法
S47	B	industry_guide	结构化数据如何支持本地可见性	How structured data supports local visibility across Google and AI	https://searchengineland.com/schema-local-visibility-google-ai-470906	2026-03-16	open	本地结构化字段可降低地址与服务范围误引	Structured local fields reduce mis-citation of address and service scope	用于本地与多地点 GEO
S48	B	industry_study	AI 搜索引用依赖品牌可控信源	AI search citations rely on brand-controlled sources	https://searchengineland.com/ai-search-citations-rely-on-brand-controlled-sources-470731	2026-03-16	open	官网与自有可控资产对引用影响显著	Brand-controlled assets materially influence citation outcomes	用于信源优先级
S49	B	industry_news	AI 搜索下付费与自然边界正在融合	As brands respond to AI search, walls crumble between paid and organic	https://searchengineland.com/as-brands-respond-to-ai-search-walls-crumble-between-paid-and-organic-471267	2026-03-16	open	投放与自然内容策略需要联动设计	Paid and organic strategies increasingly need integrated planning	用于商业化策略
S50	B	industry_news	Amazon 获得针对 Perplexity Comet 的初步禁令	Amazon wins preliminary injunction against Perplexity’s Comet	https://www.searchenginejournal.com/amazon-wins-preliminary-injunction-against-perplexitys-comet/569256/	2026-03-16	open	代理型抓取与自动化交易面临更高法律门槛	Agentic scraping and automated commerce face higher legal constraints	用于合规章节
S51	B	industry_news	Google AI Mode 个性化上下文能力进展	Google AI Mode personal context features still to come	https://www.searchenginejournal.com/googles-ai-mode-personal-context-features-still-to-come/563596/	2026-03-16	open	AI 搜索正在增强个性化上下文信号	AI search is adding stronger personalized context signals	用于意图与个性化章节
S52	B	industry_guide	AI 搜索中的新型链接建设	Old Link Building vs. AI Search	https://www.searchenginejournal.com/ai-search-link-building-resolve-spa/567924/	2026-03-16	open	高质量媒体与证据型内容成为新外链核心	High-authority media and evidence-led content are becoming the new link core	用于权威信号策略
S53	B	industry_news	Google AI Mode 引用覆盖层出现 Ask About	Google AI Mode Ask About in citation overlays	https://www.seroundtable.com/google-ai-mode-ask-about-on-overlay-40936.html	2026-03-16	open	引用交互入口变化会影响点击路径与归因	Citation overlay UI changes can alter click paths and attribution	用于结果页交互策略
S54	B	industry_news	GEO 热度回归理性：与 SEO 的边界讨论	GEO hype busted: where it differs from SEO	https://digiday.com/media/geo-hype-busted-experts-call-it-more-seo-than-new-discipline/	2026-03-16	open	行业观点认为 GEO 应作为 SEO 扩展而非割裂新学科	Experts argue GEO should be treated as an extension of SEO, not a hard replacement	用于认知澄清
S55	A	official_blog	Google AI Mode：Agentic 与个性化更新	Google AI Mode: agentic and personalized updates	https://blog.google/products/search/ai-mode-agentic-personalized/	2026-03-16	open	官方披露 AI Mode 新能力与任务执行方向	Official update on AI Mode capabilities and agentic task execution	用于平台能力边界
S56	A	official_blog	Google Maps 的 Gemini 新功能（含 Ask Maps）	Gemini-powered features in Google Maps	https://blog.google/products/maps/gemini-navigation-features-landmark-lens/	2026-03-16	open	地图场景的 AI 问答入口持续增加	AI Q&A entry points in maps are expanding	用于本地搜索场景
S57	B	industry_news	Google Maps 新增 Ask Maps（独立新闻验证）	Google Maps rolls out Ask Maps (independent coverage)	https://apnews.com/article/1933c40eaecfdbb9aa54d8ae3efcec2e	2026-03-16	open	第三方媒体确认 Ask Maps 在真实产品中的上线	Independent coverage confirms Ask Maps rollout in product	用于新闻交叉验证
S58	B	industry_news	Perplexity Personal Computer：云端代理在 Mac 上运行	Perplexity Personal Computer cloud AI agent on Mac	https://9to5mac.com/2026/03/11/perplexitys-personal-computer-is-a-cloud-based-ai-agent-running-on-mac-mini/	2026-03-16	open	代理型 AI 正从问答扩展到任务执行	Agentic AI is expanding from Q&A to task execution	用于 Agent 趋势章节
S59	B	industry_study	技术 SEO 对 AI 搜索表现影响研究	Technical SEO impact on AI search study	https://www.semrush.com/blog/technical-seo-impact-on-ai-search-study/	2026-03-16	open	技术健康度与 AI 可见性存在显著相关	Technical health has strong correlation with AI visibility	用于技术底座论证
S60	B	industry_study	Semrush AI Overviews 研究	Semrush AI Overviews study	https://www.semrush.com/blog/ai-overviews-study/	2026-03-16	open	AIO 引用模式与传统排名并非完全一致	AIO citation behavior does not fully mirror classic rankings	用于平台差异说明
S61	B	industry_guide	Semrush One AI 可见性审计	AI visibility audit with Semrush One	https://www.semrush.com/blog/ai-visibility-audit-with-semrush-one/	2026-03-16	open	审计框架强调页面级与问题级双维监测	Audit workflow emphasizes page-level and prompt-level monitoring	用于审计流程
S62	B	industry_news	IAB 提出 AI 内容访问付费规则	IAB proposes payment rules for AI content access	https://martech.org/iab-proposes-new-payment-rules-for-ai-content-access/	2026-03-16	open	行业组织推动 AI 内容抓取补偿机制讨论	Industry bodies are pushing compensation models for AI content access	用于政策与商业规则章节
S63	B	industry_news	Yahoo Scout 增加个性化首页	Yahoo adds personalized homepage to Scout AI search	https://searchengineland.com/yahoo-scout-yahoos-return-to-search-and-web-discovery-467907	2026-03-16	open	搜索入口正在向个性化与助手化演进	Search entry points are evolving toward personalization and assistant UX	用于平台变化章节
